seriesID,date,value
LNS11300000,2022-01-01,62.2
CES9091000001,2022-01-01,2878.0
CES0500000003,2022-01-01,31.63
LNS14000000,2022-01-01,4.0
CEU0000000001,2022-01-01,147932.0
LNS12000000,2022-01-01,157066.0
CES0500000003,2022-02-01,31.65
LNS12000000,2022-02-01,157528.0
LNS11300000,2022-02-01,62.2
CES9091000001,2022-02-01,2871.0
CEU0000000001,2022-02-01,149606.0
LNS14000000,2022-02-01,3.8
LNS12000000,2022-03-01,158219.0
CES9091000001,2022-03-01,2869.0
CEU0000000001,2022-03-01,150411.0
LNS11300000,2022-03-01,62.3
CES0500000003,2022-03-01,31.84
LNS14000000,2022-03-01,3.6
LNS12000000,2022-04-01,157888.0
CEU0000000001,2022-04-01,151434.0
CES0500000003,2022-04-01,31.95
LNS14000000,2022-04-01,3.7
CES9091000001,2022-04-01,2865.0
LNS11300000,2022-04-01,62.2
LNS12000000,2022-05-01,158314.0
CES9091000001,2022-05-01,2864.0
CES0500000003,2022-05-01,32.08
CEU0000000001,2022-05-01,152264.0
LNS14000000,2022-05-01,3.6
LNS11300000,2022-05-01,62.3
CEU0000000001,2022-06-01,153175.0
LNS11300000,2022-06-01,62.2
CES9091000001,2022-06-01,2851.0
LNS14000000,2022-06-01,3.6
CES0500000003,2022-06-01,32.2
LNS12000000,2022-06-01,158116.0
LNS14000000,2022-07-01,3.5
LNS12000000,2022-07-01,158282.0
CES0500000003,2022-07-01,32.33
LNS11300000,2022-07-01,62.1
CES9091000001,2022-07-01,2864.0
CEU0000000001,2022-07-01,152813.0
CEU0000000001,2022-08-01,153208.0
CES9091000001,2022-08-01,2859.0
CES0500000003,2022-08-01,32.44
LNS14000000,2022-08-01,3.6
LNS12000000,2022-08-01,158758.0
LNS11300000,2022-08-01,62.4
LNS11300000,2022-09-01,62.3
CES0500000003,2022-09-01,32.54
CEU0000000001,2022-09-01,153730.0
LNS12000000,2022-09-01,158894.0
CES9091000001,2022-09-01,2863.0
LNS14000000,2022-09-01,3.5
LNS14000000,2022-10-01,3.6
LNS12000000,2022-10-01,158729.0
CEU0000000001,2022-10-01,154936.0
CES9091000001,2022-10-01,2871.0
CES0500000003,2022-10-01,32.7
LNS11300000,2022-10-01,62.3
LNS14000000,2022-11-01,3.6
CES0500000003,2022-11-01,32.83
CEU0000000001,2022-11-01,155519.0
LNS11300000,2022-11-01,62.1
LNS12000000,2022-11-01,158485.0
CES9091000001,2022-11-01,2875.0
LNS14000000,2022-12-01,3.5
CES0500000003,2022-12-01,32.94
CEU0000000001,2022-12-01,155211.0
LNS11300000,2022-12-01,62.3
CES9091000001,2022-12-01,2876.0
LNS12000000,2022-12-01,159300.0
CES0500000003,2023-01-01,33.07
LNS11300000,2023-01-01,62.4
LNS14000000,2023-01-01,3.4
CES9091000001,2023-01-01,2882.0
CEU0000000001,2023-01-01,152688.0
LNS12000000,2023-01-01,160152.0
LNS14000000,2023-02-01,3.6
CES9091000001,2023-02-01,2892.0
LNS12000000,2023-02-01,160301.0
LNS11300000,2023-02-01,62.5
CEU0000000001,2023-02-01,153817.0
CES0500000003,2023-02-01,33.15
LNS11300000,2023-03-01,62.6
CES0500000003,2023-03-01,33.31
CES9091000001,2023-03-01,2900.0
LNS12000000,2023-03-01,160824.0
LNS14000000,2023-03-01,3.5
CEU0000000001,2023-03-01,154253.0
CEU0000000001,2023-04-01,155201.0
LNS12000000,2023-04-01,160962.0
CES0500000003,2023-04-01,33.44
CES9091000001,2023-04-01,2908.0
LNS11300000,2023-04-01,62.6
LNS14000000,2023-04-01,3.4
LNS11300000,2023-05-01,62.6
CES9091000001,2023-05-01,2914.0
CEU0000000001,2023-05-01,156132.0
LNS14000000,2023-05-01,3.7
LNS12000000,2023-05-01,160707.0
CES0500000003,2023-05-01,33.54
LNS11300000,2023-06-01,62.6
CES9091000001,2023-06-01,2920.0
LNS14000000,2023-06-01,3.6
CEU0000000001,2023-06-01,156842.0
LNS12000000,2023-06-01,161004.0
CES0500000003,2023-06-01,33.7
CES9091000001,2023-07-01,2928.0
CES0500000003,2023-07-01,33.84
LNS12000000,2023-07-01,161209.0
CEU0000000001,2023-07-01,155981.0
LNS14000000,2023-07-01,3.5
LNS11300000,2023-07-01,62.6
LNS11300000,2023-08-01,62.8
LNS14000000,2023-08-01,3.8
CES9091000001,2023-08-01,2939.0
LNS12000000,2023-08-01,161500.0
CES0500000003,2023-08-01,33.91
CEU0000000001,2023-08-01,156355.0
LNS12000000,2023-09-01,161550.0
LNS14000000,2023-09-01,3.8
CEU0000000001,2023-09-01,156845.0
LNS11300000,2023-09-01,62.8
CES0500000003,2023-09-01,34.01
CES9091000001,2023-09-01,2945.0
CES0500000003,2023-10-01,34.1
LNS12000000,2023-10-01,161280.0
CEU0000000001,2023-10-01,157878.0
LNS11300000,2023-10-01,62.7
CES9091000001,2023-10-01,2953.0
LNS14000000,2023-10-01,3.8
CES9091000001,2023-11-01,2952.0
LNS11300000,2023-11-01,62.8
LNS14000000,2023-11-01,3.7
CES0500000003,2023-11-01,34.23
LNS12000000,2023-11-01,161866.0
CEU0000000001,2023-11-01,158347.0
CEU0000000001,2023-12-01,158269.0
LNS14000000,2023-12-01,3.7
CES9091000001,2023-12-01,2961.0
LNS11300000,2023-12-01,62.5
CES0500000003,2023-12-01,34.34
LNS12000000,2023-12-01,161183.0
LNS12000000,2024-01-01,161152.0
CES0500000003,2024-01-01,34.51
LNS14000000,2024-01-01,3.7
CEU0000000001,2024-01-01,155432.0
LNS11300000,2024-01-01,62.5
CES9091000001,2024-01-01,2974.0
LNS11300000,2024-02-01,62.5
LNS12000000,2024-02-01,160968.0
CEU0000000001,2024-02-01,156551.0
CES0500000003,2024-02-01,34.56
LNS14000000,2024-02-01,3.9
CES9091000001,2024-02-01,2981.0
LNS14000000,2024-03-01,3.8
CES0500000003,2024-03-01,34.69
LNS11300000,2024-03-01,62.7
CES9091000001,2024-03-01,2993.0
CEU0000000001,2024-03-01,157210.0
LNS12000000,2024-03-01,161466.0
LNS11300000,2024-04-01,62.7
CES9091000001,2024-04-01,2993.0
LNS14000000,2024-04-01,3.9
CEU0000000001,2024-04-01,158001.0
CES0500000003,2024-04-01,34.75
LNS12000000,2024-04-01,161491.0
LNS12000000,2024-05-01,161083.0
CES0500000003,2024-05-01,34.88
CEU0000000001,2024-05-01,158842.0
LNS11300000,2024-05-01,62.5
LNS14000000,2024-05-01,4.0
CES9091000001,2024-05-01,2994.0
CEU0000000001,2024-06-01,159341.0
LNS11300000,2024-06-01,62.6
LNS12000000,2024-06-01,161199.0
CES0500000003,2024-06-01,34.99
LNS14000000,2024-06-01,4.1
CES9091000001,2024-06-01,2996.0
CES9091000001,2024-07-01,2996.0
LNS12000000,2024-07-01,161266.0
CEU0000000001,2024-07-01,158399.0
LNS11300000,2024-07-01,62.7
LNS14000000,2024-07-01,4.3
CES0500000003,2024-07-01,35.07
LNS12000000,2024-08-01,161434.0
CES9091000001,2024-08-01,2997.0
CEU0000000001,2024-08-01,158731.0
LNS11300000,2024-08-01,62.7
CES0500000003,2024-08-01,35.22
LNS14000000,2024-08-01,4.2
CES0500000003,2024-09-01,35.33
CES9091000001,2024-09-01,3001.0
CEU0000000001,2024-09-01,159184.0
LNS12000000,2024-09-01,161864.0
LNS11300000,2024-09-01,62.7
LNS14000000,2024-09-01,4.1
LNS12000000,2024-10-01,161496.0
CEU0000000001,2024-10-01,160035.0
CES9091000001,2024-10-01,3003.0
LNS14000000,2024-10-01,4.1
CES0500000003,2024-10-01,35.48
